66;4;Gunung Rejo;;2020-07-07 20:47:86;2020-07-07 20:47:86;1;1
67;4;Margodadi;;2020-07-07 20:47:87;2020-07-07 20:47:87;1;1
68;4;Cimanuk;;2020-07-07 20:47:88;2020-07-07 20:47:88;1;1
69;4;Sukamandi;;2020-07-07 20:47:89;2020-07-07 20:47:89;1;1
70;4;Paguyuban;;2020-07-07 20:47:90;2020-07-07 20:47:90;1;1
71;5;Banjaran;;2020-07-07 20:47:91;2020-07-07 20:47:91;1;1
72;5;Durian;;2020-07-07 20:47:92;2020-07-07 20:47:92;1;1
73;5;Hanau Berak;;2020-07-07 20:47:93;2020-07-07 20:47:93;1;1
74;5;Paya;;2020-07-07 20:47:94;2020-07-07 20:47:94;1;1
75;5;Padang Cermin;;2020-07-07 20:47:95;2020-07-07 20:47:95;1;1
76;5;Sanggi;;2020-07-07 20:47:96;2020-07-07 20:47:96;1;1
77;5;Tambangan;;2020-07-07 20:47:97;2020-07-07 20:47:97;1;1
78;5;Way Urang;;2020-07-07 20:47:98;2020-07-07 20:47:98;1;1
79;5;Khepong Jaya;;2020-07-07 20:47:99;2020-07-07 20:47:99;1;1
80;5;Trimulyo;;2020-07-07 20:47:100;2020-07-07 20:47:100;1;1
81;5;Gayau;;2020-07-07 20:47:101;2020-07-07 20:47:101;1;1
82;6;Bawang;;2020-07-07 20:47:102;2020-07-07 20:47:102;1;1
83;6;Banding Agung;;2020-07-07 20:47:103;2020-07-07 20:47:103;1;1
84;6;Batu Raja;;2020-07-07 20:47:104;2020-07-07 20:47:104;1;1
85;6;Sukajaya Pidada;;2020-07-07 20:47:105;2020-07-07 20:47:105;1;1
86;6;Rubasa;;2020-07-07 20:47:106;2020-07-07 20:47:106;1;1
87;6;Kota Jawa;;2020-07-07 20:47:107;2020-07-07 20:47:107;1;1
88;6;Sukarame;;2020-07-07 20:47:108;2020-07-07 20:47:108;1;1
89;6;Pagar Jaya;;2020-07-07 20:47:109;2020-07-07 20:47:109;1;1
90;6;Pulau Legundi;;2020-07-07 20:47:110;2020-07-07 20:47:110;1;1
91;6;Suka Maju;;2020-07-07 20:47:111;2020-07-07 20:47:111;1;1
92;6;Bangun Rejo;;2020-07-07 20:47:112;2020-07-07 20:47:112;1;1
93;7;Way Kepayang;;2020-07-07 20:47:113;2020-07-07 20:47:113;1;1
94;7;Suka Maju;;2020-07-07 20:47:114;2020-07-07 20:47:114;1;1
95;7;Kedondong;;2020-07-07 20:47:115;2020-07-07 20:47:115;1;1
96;7;Pasar Baru;;2020-07-07 20:47:116;2020-07-07 20:47:116;1;1
97;7;Tempel Rejo;;2020-07-07 20:47:117;2020-07-07 20:47:117;1;1
98;7;Kertasana;;2020-07-07 20:47:118;2020-07-07 20:47:118;1;1
99;7;Gunung Sugih;;2020-07-07 20:47:119;2020-07-07 20:47:119;1;1
100;7;Sinar Harapan;;2020-07-07 20:47:120;2020-07-07 20:47:120;1;1
101;7;Teba Jawa;;2020-07-07 20:47:121;2020-07-07 20:47:121;1;1
102;7;Babakan Loa;;2020-07-07 20:47:122;2020-07-07 20:47:122;1;1
103;7;Pesawaran Indah;;2020-07-07 20:47:123;2020-07-07 20:47:123;1;1
104;7;Harapan Jaya;;2020-07-07 20:47:124;2020-07-07 20:47:124;1;1
105;7;Tanjung Rejo;;2020-07-07 20:47:125;2020-07-07 20:47:125;1;1
106;8;Sukajaya Punduh;;2020-07-07 20:47:126;2020-07-07 20:47:126;1;1
107;8;Maja;;2020-07-07 20:47:127;2020-07-07 20:47:127;1;1
108;8;Penyandingan;;2020-07-07 20:47:128;2020-07-07 20:47:128;1;1
109;8;Tajur;;2020-07-07 20:47:129;2020-07-07 20:47:129;1;1
110;8;Umbul Limus;;2020-07-07 20:47:130;2020-07-07 20:47:130;1;1
111;8;Pekon Ampai;;2020-07-07 20:47:131;2020-07-07 20:47:131;1;1
112;8;Kunyaian;;2020-07-07 20:47:132;2020-07-07 20:47:132;1;1
113;8;Kekatang;;2020-07-07 20:47:133;2020-07-07 20:47:133;1;1
114;8;Kampung Baru;;2020-07-07 20:47:134;2020-07-07 20:47:134;1;1
115;8;Pulau Pahawang;;2020-07-07 20:47:135;2020-07-07 20:47:135;1;1
116;9;Penengahan;;2020-07-07 20:47:136;2020-07-07 20:47:136;1;1
117;9;Suka Jaya;;2020-07-07 20:47:137;2020-07-07 20:47:137;1;1
118;9;Padang Cermin;;2020-07-07 20:47:138;2020-07-07 20:47:138;1;1
119;9;Bayas Jaya;;2020-07-07 20:47:139;2020-07-07 20:47:139;1;1
120;9;Tanjung Kerta;;2020-07-07 20:47:140;2020-07-07 20:47:140;1;1
121;9;Kota Jawa;;2020-07-07 20:47:141;2020-07-07 20:47:141;1;1
122;9;Gunung Sari;;2020-07-07 20:47:142;2020-07-07 20:47:142;1;1
123;9;Mada Jaya;;2020-07-07 20:47:143;2020-07-07 20:47:143;1;1
124;9;Kubu Batu;;2020-07-07 20:47:144;2020-07-07 20:47:144;1;1
125;10;Batu Menyan;;2020-07-07 20:47:145;2020-07-07 20:47:145;1;1
126;10;Cilimus;;2020-07-07 20:47:146;2020-07-07 20:47:146;1;1
127;10;Gebang;;2020-07-07 20:47:147;2020-07-07 20:47:147;1;1
128;10;Hanura;;2020-07-07 20:47:148;2020-07-07 20:47:148;1;1
129;10;Hurun;;2020-07-07 20:47:149;2020-07-07 20:47:149;1;1
130;10;Munca;;2020-07-07 20:47:150;2020-07-07 20:47:150;1;1
131;10;Sidodadi;;2020-07-07 20:47:151;2020-07-07 20:47:151;1;1
132;10;Sukajaya Lempasing;;2020-07-07 20:47:152;2020-07-07 20:47:152;1;1
133;10;Talang Mulya;;2020-07-07 20:47:153;2020-07-07 20:47:153;1;1
134;10;Tanjung Agung;;2020-07-07 20:47:154;2020-07-07 20:47:154;1;1
135;11;Bunut;;2020-07-07 20:47:155;2020-07-07 20:47:155;1;1
136;11;Bunut Seberang;;2020-07-07 20:47:156;2020-07-07 20:47:156;1;1
137;11;Wates Way Ratai;;2020-07-07 20:47:157;2020-07-07 20:47:157;1;1
138;11;Ceringin Sari;;2020-07-07 20:47:158;2020-07-07 20:47:158;1;1
139;11;Sumber Jaya;;2020-07-07 20:47:159;2020-07-07 20:47:159;1;1
140;11;Mulyo Sari;;2020-07-07 20:47:160;2020-07-07 20:47:160;1;1
141;11;Poncorejo;;2020-07-07 20:47:161;2020-07-07 20:47:161;1;1
142;11;Gunung Rejo;;2020-07-07 20:47:162;2020-07-07 20:47:162;1;1
143;11;Pesawaran Indah;;2020-07-07 20:47:163;2020-07-07 20:47:163;1;1
144;11;Harapan Jaya;;2020-07-07 20:47:164;2020-07-07 20:47:164;1;1
